,industries,status
0,car,completed
1,vehicle,completed
2,mobility,completed
3,auto,completed
4,electricity,completed
5,finance,completed
6,industry,completed
7,logistics,completed
8,transport,completed
9,freight,completed
10,container,completed
11,shipping,completed
12,supply chain,completed
13,fashion,completed
14,manufacturing,completed
15,sustainability,completed
16,building,completed
17,oil,completed
18,gas,completed
19,commodities,completed
20,resouces,completed
21,gold,completed
22,copper,completed
23,fees,completed
24,interests,completed
25,returns,completed
26,asset transfers,completed
27,shares,completed
28,bonds,completed
29,investments,completed
30,shareholders,completed
31,investors,completed
32,voting,completed
33,election,completed
34,taxes,completed
35,compliance,completed
36,aide,completed
37,charity,completed
38,gaming,completed
39,nft,completed
40,assets,completed
41,fashion,completed
